country,year,𝚫g(K),gdp,name,value,class
Armenia,1997,0.02054894237388543,12959999464.797842,θ,-0.9640159427224807,Consumption
Armenia,1997,0.02054894237388543,12959999464.797842,𝝋,1.9640159427224784,Consumption
Armenia,1997,0.02054894237388543,12959999464.797842,θ,-0.494046009998799,Savings/Investment
Armenia,1997,0.02054894237388543,12959999464.797842,𝝋,1.4940460099987993,Savings/Investment
Armenia,1998,-0.03982137072434603,13906079854.358334,θ,-0.7375526772003266,Consumption
Armenia,1998,-0.03982137072434603,13906079854.358334,𝝋,1.7375526772003258,Consumption
Armenia,1998,-0.03982137072434603,13906079854.358334,θ,-0.43653355559454377,Savings/Investment
Armenia,1998,-0.03982137072434603,13906079854.358334,𝝋,1.4365335555945435,Savings/Investment
Armenia,1999,-0.03436844114376693,14365002706.203768,θ,-0.5495033350624297,Consumption
Armenia,1999,-0.03436844114376693,14365002706.203768,𝝋,1.5495033350624292,Consumption
Armenia,1999,-0.03436844114376693,14365002706.203768,θ,-0.4278103430406187,Savings/Investment
Armenia,1999,-0.03436844114376693,14365002706.203768,𝝋,1.4278103430406186,Savings/Investment
Armenia,2000,0.034588180899118505,15212543214.322954,θ,-1.2140194877462958,Consumption
Armenia,2000,0.034588180899118505,15212543214.322954,𝝋,2.214019487746296,Consumption
Armenia,2000,0.034588180899118505,15212543214.322954,θ,-0.4551186851850565,Savings/Investment
Armenia,2000,0.034588180899118505,15212543214.322954,𝝋,1.4551186851850566,Savings/Investment
Armenia,2001,0.11639896066730337,16672915157.44047,θ,-0.09075417296228236,Consumption
Armenia,2001,0.11639896066730337,16672915157.44047,𝝋,1.0907541729622814,Consumption
Armenia,2001,0.11639896066730337,16672915157.44047,θ,0.18146231503214594,Savings/Investment
Armenia,2001,0.11639896066730337,16672915157.44047,𝝋,0.8185376849678541,Savings/Investment
Armenia,2002,0.010856350032798612,18873743806.879684,θ,4.119105590458097,Consumption
Armenia,2002,0.010856350032798612,18873743806.879684,𝝋,-3.1191055904580867,Consumption
Armenia,2002,0.010856350032798612,18873743806.879684,θ,3.1372884418534,Savings/Investment
Armenia,2002,0.010856350032798612,18873743806.879684,𝝋,-2.1372884418534,Savings/Investment
Armenia,2003,0.03691058702442826,21516066530.19843,θ,1.1881104327762808,Consumption
Armenia,2003,0.03691058702442826,21516066530.19843,𝝋,-0.18811043277628306,Consumption
Armenia,2003,0.03691058702442826,21516066530.19843,θ,1.0129065714180503,Savings/Investment
Armenia,2003,0.03691058702442826,21516066530.19843,𝝋,-0.012906571418050147,Savings/Investment
Armenia,2004,-0.019448851642526105,23775288879.91371,θ,-3.355379125352869,Consumption
Armenia,2004,-0.019448851642526105,23775288879.91371,𝝋,4.355379125352868,Consumption
Armenia,2004,-0.019448851642526105,23775288879.91371,θ,-1.6385122609836762,Savings/Investment
Armenia,2004,-0.019448851642526105,23775288879.91371,𝝋,2.6385122609836764,Savings/Investment
Armenia,2005,0.020669378386048404,27080031378.28557,θ,2.613447589098372,Consumption
Armenia,2005,0.020669378386048404,27080031378.28557,𝝋,-1.6134475890983708,Consumption
